[4. 2. 0. 0. 0. 0.],[2. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
[4. 2. 0. 0. 0. 0.],[2. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
[4. 2. 0. 0. 0. 0.],[2. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
[4. 2. 0. 0. 0. 0.],[2. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
[4. 2. 0. 0. 0. 0.],[2. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
[4. 2. 0. 0. 0. 0.],[2. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
[4. 2. 0. 0. 0. 0.],[2. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
[4. 2. 0. 0. 0. 0.],[2. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
[4. 2. 0. 0. 0. 0.],[2. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
[40000. 20000.     0.     0.],[20000. 10000.     0.     0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[ 4.      2.      0.      0.     -0.3036 -0.1046],[ 2.      1.      0.      0.     -0.1518 -0.0523],[ 0.  0.  0.  0. -0. -0.],[ 0.  0.  0.  0. -0. -0.],[-0.3036 -0.1518 -0.     -0.      0.023   0.0079],[-0.1046 -0.0523 -0.     -0.      0.0079  0.0027]
[ 4.      2.     -9.0269 -4.5134 -0.256  -0.0622],[ 2.      1.     -4.5134 -2.2567 -0.128  -0.0311],[-9.0269 -4.5134 20.3711 10.1856  0.5777  0.1404],[-4.5134 -2.2567 10.1856  5.0928  0.2889  0.0702],[-0.256  -0.128   0.5777  0.2889  0.0164  0.004 ],[-0.0622 -0.0311  0.1404  0.0702  0.004   0.001 ]
[ 3.0523  2.2381 -7.3651 -3.6757 -0.1448 -0.0349],[ 2.2381  1.6412 -5.4006 -2.6953 -0.1062 -0.0256],[-7.3651 -5.4006 17.7716  8.8694  0.3494  0.0841],[-3.6757 -2.6953  8.8694  4.4265  0.1744  0.042 ],[-0.1448 -0.1062  0.3494  0.1744  0.0069  0.0017],[-0.0349 -0.0256  0.0841  0.042   0.0017  0.0004]
[ 2.2635  1.2352 -6.0565 -2.9827 -0.0301 -0.0068],[ 1.2352  0.674  -3.3049 -1.6276 -0.0164 -0.0037],[-6.0565 -3.3049 16.2055  7.9809  0.0804  0.0182],[-2.9827 -1.6276  7.9809  3.9305  0.0396  0.009 ],[-0.0301 -0.0164  0.0804  0.0396  0.0004  0.0001],[-0.0068 -0.0037  0.0182  0.009   0.0001  0.    ]
[ 1.5974  0.7835 -4.9852 -2.4921  0.0554  0.014 ],[ 0.7835  0.3843 -2.4452 -1.2224  0.0272  0.0069],[-4.9852 -2.4452 15.5579  7.7775 -0.173  -0.0438],[-2.4921 -1.2224  7.7775  3.888  -0.0865 -0.0219],[ 0.0554  0.0272 -0.173  -0.0865  0.0019  0.0005],[ 0.014   0.0069 -0.0438 -0.0219  0.0005  0.0001]
[ 1.0019  0.4114 -3.8311 -1.8863  0.0867  0.0215],[ 0.4114  0.169  -1.5732 -0.7746  0.0356  0.0088],[-3.8311 -1.5732 14.6497  7.213  -0.3314 -0.0824],[-1.8863 -0.7746  7.213   3.5514 -0.1631 -0.0406],[ 0.0867  0.0356 -0.3314 -0.1631  0.0075  0.0019],[ 0.0215  0.0088 -0.0824 -0.0406  0.0019  0.0005]
[ 0.5323 -0.1185 -2.7044 -1.3461  0.0675  0.0167],[-0.1185  0.0264  0.6019  0.2996 -0.015  -0.0037],[-2.7044  0.6019 13.7391  6.8387 -0.3429 -0.085 ],[-1.3461  0.2996  6.8387  3.404  -0.1707 -0.0423],[ 0.0675 -0.015  -0.3429 -0.1707  0.0086  0.0021],[ 0.0167 -0.0037 -0.085  -0.0423  0.0021  0.0005]
